Time [ms], Theta [deg]
0.0,-0.655
5.0,-0.607
10.0,-0.609
15.0,-0.589
20.0,-0.582
25.0,-0.587
30.0,-0.62
35.0,-0.612
40.0,-0.63
45.0,-0.628
50.0,-0.606
55.0,-0.621
60.0,-0.629
65.0,-0.637
70.0,-0.615
75.0,-0.599
80.0,-0.599
85.0,-0.616
90.0,-0.628
95.0,-0.655
100.0,-0.679
105.0,-0.698
110.0,-0.701
115.0,-0.706
120.0,-0.666
125.0,-0.608
130.0,-0.612
135.0,-0.608
140.0,-0.638
145.0,-0.676
150.0,-0.678
155.0,-0.645
160.0,-0.649
165.0,-0.648
170.0,-0.63
175.0,-0.616
180.0,-0.604
185.0,-0.582
190.0,-0.585
196.0,-0.583
201.0,-0.584
206.0,-0.591
211.0,-0.6
216.0,-0.605
221.0,-0.601
226.0,-0.592
231.0,-0.587
236.0,-0.617
241.0,-0.618
246.0,-0.63
251.0,-0.634
256.0,-0.654
261.0,-0.665
266.0,-0.641
271.0,-0.627
276.0,-0.602
281.0,-0.611
286.0,-0.625
291.0,-0.627
296.0,-0.605
301.0,-0.624
307.0,-0.623
312.0,-0.602
317.0,-0.627
322.0,-0.62
327.0,-0.604
332.0,-0.566
337.0,-0.579
342.0,-0.586
347.0,-0.592
352.0,-0.597
357.0,-0.62
362.0,-0.576
367.0,-0.574
372.0,-0.599
377.0,-0.613
382.0,-0.653
387.0,-0.635
392.0,-0.625
397.0,-0.597
402.0,-0.589
407.0,-0.589
412.0,-0.598
417.0,-0.599
422.0,-0.592
427.0,-0.574
432.0,-0.623
437.0,-0.626
442.0,-0.615
447.0,-0.641
452.0,-0.619
457.0,-0.602
462.0,-0.592
467.0,-0.645
472.0,-0.627
477.0,-0.602
482.0,-0.59
,
487.0,-0.592
492.0,-0.609
497.0,-0.593
502.0,-0.585
507.0,-0.593
512.0,-0.591
517.0,-0.599
522.0,-0.578
527.0,-0.606
532.0,-0.575
537.0,-0.607
542.0,-0.463
547.0,-0.35
552.0,-0.363
557.0,-0.484
562.0,-0.692
567.0,-0.906
572.0,-0.993
577.0,-0.98
582.0,-0.864
587.0,-0.578
592.0,-0.416
597.0,-0.37
602.0,-0.464
607.0,-0.614
612.0,-0.77
617.0,-0.9
622.0,-0.928
627.0,-0.935
632.0,-0.706
637.0,-0.419
642.0,-0.411
647.0,-0.489
652.0,-0.595
657.0,-0.758
662.0,-0.78
667.0,-0.691
672.0,-0.529
677.0,-0.41
682.0,-0.432
687.0,-0.506
693.0,-0.651
698.0,-0.76
703.0,-0.729
708.0,-0.603
713.0,-0.518
718.0,-0.525
723.0,-0.571
728.0,-0.623
733.0,-0.673
738.0,-0.696
743.0,-0.614
748.0,-0.528
753.0,-0.521
759.0,-0.538
764.0,-0.577
769.0,-0.617
774.0,-0.579
779.0,-0.501
784.0,-0.484
789.0,-0.506
794.0,-0.531
799.0,-0.567
804.0,-0.611
809.0,-0.59
814.0,-0.574
820.0,-0.546
825.0,-0.574
830.0,-0.601
835.0,-0.629
840.0,-0.63
845.0,-0.581
850.0,-0.584
855.0,-0.582
860.0,-0.597
865.0,-0.627
870.0,-0.607
875.0,-0.616
880.0,-0.579
885.0,-0.57
890.0,-0.581
895.0,-0.575
900.0,-0.569
905.0,-0.548
910.0,-0.533
915.0,-0.53
920.0,-0.535
925.0,-0.528
930.0,-0.531
935.0,-0.511
940.0,-0.513
945.0,-0.527
950.0,-0.552
955.0,-0.557
960.0,-0.581
965.0,-0.585
970.0,-0.561
,
975.0,-0.549
980.0,-0.557
985.0,-0.577
990.0,-0.571
995.0,-0.594
1000.0,-0.634
1005.0,-0.614
1010.0,-0.595
1015.0,-0.593
1020.0,0.706
1025.0,5.607
1030.0,6.699
1035.0,6.625
1040.0,7.256
1045.0,7.797
1050.0,7.255
1055.0,6.345
1060.0,5.212
1065.0,4.188
1070.0,2.722
1075.0,1.051
1080.0,-0.751
1085.0,-2.262
1090.0,-3.541
1095.0,-4.747
1100.0,-5.747
1105.0,-6.496
1110.0,-6.986
1115.0,-7.407
1120.0,-7.002
1125.0,-6.269
1130.0,-5.941
1135.0,-5.46
1140.0,-4.376
1145.0,-3.437
1150.0,-3.146
1155.0,-2.784
1160.0,-2.579
1165.0,-2.597
1170.0,-2.522
1175.0,-2.379
1180.0,-2.398
1185.0,-2.305
1189.0,-2.121
1195.0,-2.032
1200.0,-1.797
1205.0,-1.258
1211.0,-1.056
1216.0,-1.083
1221.0,-0.968
1227.0,-1.073
1232.0,-1.164
1237.0,-1.149
1242.0,-1.204
1247.0,-1.318
1252.0,-1.282
1257.0,-1.256
1262.0,-1.273
1267.0,-1.139
1272.0,-0.84
1277.0,-0.696
1282.0,-0.652
1287.0,-0.619
1292.0,-0.689
1297.0,-0.727
1302.0,-0.764
1307.0,-0.81
1312.0,-0.848
1317.0,-0.835
1322.0,-0.807
1327.0,-0.797
1332.0,-0.687
1337.0,-0.59
1342.0,-0.542
1347.0,-0.531
1352.0,-0.53
1357.0,-0.582
1362.0,-0.624
1367.0,-0.637
1372.0,-0.676
1377.0,-0.713
1382.0,-0.725
1387.0,-0.69
1392.0,-0.697
1397.0,-0.613
1402.0,-0.5
1407.0,-0.496
1412.0,-0.473
1417.0,-0.489
1422.0,-0.526
1427.0,-0.57
1432.0,-0.583
1437.0,-0.628
1442.0,-0.631
1447.0,-0.631
,
1452.0,-0.552
1457.0,-0.526
1462.0,-0.483
1467.0,-0.407
1472.0,-0.431
1477.0,-0.484
1482.0,-0.502
1487.0,-0.544
1492.0,-0.602
1497.0,-0.645
1502.0,-0.66
1507.0,-0.671
1512.0,-0.645
1517.0,-0.606
1522.0,-0.563
1527.0,-0.556
1532.0,-0.542
1537.0,-0.553
1542.0,-0.58
1547.0,-0.615
1552.0,-0.634
1557.0,-0.655
1562.0,-0.663
1567.0,-0.647
1572.0,-0.666
1577.0,-0.62
1582.0,-0.576
1587.0,-0.564
1592.0,-0.602
1597.0,-0.586
1602.0,-0.628
1607.0,-0.623
1612.0,-0.59
1617.0,-0.625
1622.0,-0.592
1627.0,-0.593
1632.0,-0.585
1637.0,-0.581
1642.0,-0.569
1647.0,-0.582
1652.0,-0.573
1657.0,-0.61
1662.0,-0.595
1667.0,-0.605
1672.0,-0.584
1677.0,-0.603
1682.0,-0.58
1687.0,-0.551
1692.0,-0.582
1697.0,-0.593
1702.0,-0.602
1707.0,-0.608
1712.0,-0.636
1717.0,-0.636
1722.0,-0.662
1728.0,-0.665
